stream,title,relevance_score,decision,reason,matched_supplementary_title,title_similarity
formal-database-rule-pass,An Organization-Scoped LLM Agent Runtime Architecture for Regulated Cybersecurity Operations,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,The Verifier Tax: Horizon Dependent Safety Success Tradeoffs in Tool Using LLM Agents,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,SkillGuard: A Permission-Centric Framework for Agent Skill Security,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Benign in Isolation, Harmful in Composition: Security Risks in Agent Skill Ecosystems",16,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,Brain-Prompt Injection: A Route-Safety Audit for BCI-LLM Agents,16,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,"OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents",15,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,LlamaFirewall: An open source guardrail system for building secure AI agents,15,include,Runtime scanners and replay/HITL implementation,LlamaFirewall: An open source guardrail system for building secure AI agents,1.0
formal-database-rule-pass,Causality Laundering: Denial-Feedback Leakage in Tool-Calling LLM Agents,15,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Risk-Aware LLM Agents for Geospatial Data Retrieval: Design and Preliminary Adversarial Evaluation,15,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,DRIFT: Dynamic Rule-Based Defense with Injection Isolation for Securing LLM Agents,15,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,The Gate Is Only as Honest as Its Contracts: ContractGuard for the Contract Layer of Risk-Aware Causal Gating,15,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Toward Safe LLM Agents: A Survey of Specification, Verification, and Enforcement",15,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,Mission-Level Runtime Assurance for LLM-Assisted ISR Swarms over a Verification-Aware Fabric,15,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,14,include,Peer-reviewed policy DSL and runtime enforcement artifact,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,1.0
formal-database-rule-pass,Governance-as-a-Service: A Multi-Agent Framework for AI System Compliance and Policy Enforcement,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,From Risk Classification to Action Plan Remediation: A Guardrail Feedback Driven Framework for LLM Agents,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,A Policy-Driven Runtime Layer for Agentic LLM Serving,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Guardrails as Scapegoats: Auditing Unfaithful Safety Refusals in Tool-Augmented LLM Agents,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,A Framework for Formalizing LLM Agent Security,14,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,AgenticSTS: A Bounded-Memory Testbed for Long-Horizon LLM Agents,14,exclude,Evaluation or benchmark contribution rather than runtime instruction enforcement,,
formal-database-rule-pass,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents",14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,SingGuard: A Policy-Adaptive Multimodal LLM Guardrail with Dynamic Reasoning,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Self-Adaptive Multi-Agent LLM-Based Security Pattern Selection for IoT Systems,14,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,EvoHarness-RL: Learning Self-Evolving Runtime Harness for Long-Horizon LLM Agents,14,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,PSG-Agent: Personality-Aware Safety Guardrail for LLM-based Agents,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security",13,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,Authentication and Authorization for AI Agents and Risks Involved,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,The Synergistic Integration of Access Control Management and Large Language Model Agents: A Survey,13,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,"AICEBERG: A Novel Agentic AI Framework for Autonomous Radio Monitoring, Compliance and Governance Based on LLM, MCP, and SCPI in Smart Cities",13,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,ETDI: Mitigating Tool Squatting and Rug Pull Attacks in Model Context Protocol (MCP) by using OAuth-Enhanced Tool Definitions and Policy-Based Access Control,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Zero-Trust Proof-Gated Agent Architecture (ZPAA): A Comprehensive Security Model for the Model Context Protocol (MCP),13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,AgentBound: Securing Execution Boundaries of AI Agents,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Cordon: Semantic Transactions for Tool-Using LLM Agents,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Policy-Aware Service Mesh Architecture for Regulated Financial Platforms: Runtime Enforcement, Event Governance, and Trust Boundary Isolation",13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"THEMIS-xAI (Trusted High-Bash Evidence Integrity System for Explainable AI):&amp;nbsp;A Unified Architecture for Cryptographically-Anchored AI Governance, Runtime Policy Enforcement, Explainability, Security, and Multi-Framework Regulatory Compliance&amp;nbsp;",13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,A Technical Taxonomy of LLM Agent Communication Protocols,13,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,ScopeJudge: Cost-Aware Pre-Execution Gating for Offensive Security Agents,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Do LLM Agents Negotiate Rationally? A Mechanism-Design Framework for Verifiable Multi-Agent Interaction over A2A/MCP,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,ARGUS: Defending LLM Agents Against Context-Aware Prompt Injection,13,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Audit-Safe Agentic RAG Framework for Regulated Enterprise Systems: A Trustworthy AI Architecture for SAP, Finance, Healthcare, and Government Workflows",12,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,ConsisGuard: Aligning Safety Deliberation with Policy Enforcement in LLM Guardrails,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,PatchBoard: Schema-Grounded State Mutation for Reliable and Auditable LLM Multi-Agent Collaboration,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"Framework for Automated Data Quality Contract Enforcement in MultiTenant Commerce Data Lakes: Formal Specification, Runtime Monitoring, and SLA Violation Prediction",12,exclude,Domain-specific or adjacent system outside the general tool-agent harness scope,,
formal-database-rule-pass,IntAgent: NWDAF-Based Intent LLM Agent Towards Advanced Next Generation Networks,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Bayesian-Agent: Posterior-Guided Skill Evolution Across LLM Agent Harnesses,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Enforcing Temporal Constraints for LLM Agents,12,include,Temporal policy DSL and constrained-generation runtime,Enforcing Temporal Constraints for LLM Agents,1.0
formal-database-rule-pass,MindGuard: Intrinsic Decision Inspection for Securing LLM Agents Against Metadata Poisoning,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,PolicyBank: Evolving Policy Understanding for LLM Agents,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Organizational Control Layer: Governance Infrastructure at the Execution Boundary of LLM Agent Systems,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"SafeClawBench: Separating Semantic, Audit-Evidence, and Sandbox Harm in Tool-Using LLM Agents",12,exclude,Evaluation or benchmark contribution rather than runtime instruction enforcement,,
formal-database-rule-pass,Why Formal Monitors Fail: Attack Distribution Entropy as a Coverage Bound for LTL-Based LLM Agent Safety,12,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
supplementary-addition-or-rescue,Securing AI Agents with Information-Flow Control,,include,Deterministic IFC mechanism with public artifact,Securing AI Agents with Information-Flow Control,1.0
supplementary-addition-or-rescue,Defeating Prompt Injections by Design,,include,Control/data-flow separation with public artifact,Defeating Prompt Injections by Design,1.0
supplementary-addition-or-rescue,NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications with Programmable Rails,,include,Peer-reviewed programmable runtime rails with mature code,NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications with Programmable Rails,1.0
supplementary-addition-or-rescue,ToolSafe: Enhancing Tool Invocation Safety of LLM-based Agents via Proactive Step-level Guardrail and Feedback,,include,Peer-reviewed pre-tool guard and recovery feedback,ToolSafe: Enhancing Tool Invocation Safety of LLM-based Agents via Proactive Step-level Guardrail and Feedback,1.0
supplementary-addition-or-rescue,AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,,exclude,Diagnostic framework rather than instruction-compliance enforcement,AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,1.0
supplementary-addition-or-rescue,Tool Forge: A Validation-Carrying Toolchain for Governed Agentic Execution,,include,Validation-carrying tools and scoped routing with code,Tool Forge: A Validation-Carrying Toolchain for Governed Agentic Execution,1.0
supplementary-addition-or-rescue,ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning,,include,Peer-reviewed verifiable policy reasoning; retained as paper-only contrast,ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning,1.0
supplementary-addition-or-rescue,AgentArmor: Enforcing Program Analysis on Agent Runtime Trace to Defend Against Prompt Injection,,exclude,Relevant preprint but no verified public implementation,AgentArmor: Enforcing Program Analysis on Agent Runtime Trace to Defend Against Prompt Injection,1.0
supplementary-addition-or-rescue,RTBAS: Defending LLM Agents Against Prompt Injection and Privacy Leakage,,exclude,Relevant preprint but no verified public implementation,RTBAS: Defending LLM Agents Against Prompt Injection and Privacy Leakage,1.0
supplementary-addition-or-rescue,CaMeLs Can Use Computers Too: System-level Security for Computer Use Agents,,exclude,CUA-specific extension outside the selected tool-agent scope,CaMeLs Can Use Computers Too: System-level Security for Computer Use Agents,1.0
supplementary-addition-or-rescue,AirGapAgent: Protecting Privacy-Conscious Conversational Agents,,exclude,Privacy isolation is adjacent but not general instruction compliance,AirGapAgent: Protecting Privacy-Conscious Conversational Agents,1.0
supplementary-addition-or-rescue,AIOS: LLM Agent Operating System,,exclude,General agent operating system without focused compliance evaluation,AIOS: LLM Agent Operating System,1.0
supplementary-addition-or-rescue,XGrammar: Flexible and Efficient Structured Generation Engine for Large Language Models,,exclude,Syntax conformance alone does not enforce semantic authorization,XGrammar: Flexible and Efficient Structured Generation Engine for Large Language Models,1.0
supplementary-addition-or-rescue,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,,exclude,Evaluation benchmark already covered by the PPT-adjacent repository set,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,1.0
supplementary-addition-or-rescue,Agent-SafetyBench: Evaluating the Safety of LLM Agents,,exclude,Evaluation benchmark rather than runtime enforcement,Agent-SafetyBench: Evaluating the Safety of LLM Agents,1.0
supplementary-addition-or-rescue,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,,exclude,General harness platform without focused policy gate contribution,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,1.0
supplementary-addition-or-rescue,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,,exclude,Agent interface design rather than runtime compliance control,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,1.0
supplementary-addition-or-rescue,TrustAgent: Towards Safe and Trustworthy LLM-based Agents through Agent Constitution,,include,Published three-stage constitutional inspection baseline,TrustAgent: Towards Safe and Trustworthy LLM-based Agents through Agent Constitution,1.0
supplementary-addition-or-rescue,ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox,,exclude,Evaluator/emulator rather than runtime enforcement,ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox,1.0
supplementary-addition-or-rescue,ToolSandbox: A Stateful Conversational Interactive Evaluation Benchmark for LLM Tool Use Capabilities,,exclude,Evaluation benchmark rather than runtime enforcement,ToolSandbox: A Stateful Conversational Interactive Evaluation Benchmark for LLM Tool Use Capabilities,1.0
supplementary-addition-or-rescue,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,,exclude,Evaluation benchmark and already represented in current repository set,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,1.0
supplementary-addition-or-rescue,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,,exclude,General framework with no hard authorization boundary,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,1.0
supplementary-addition-or-rescue,Design Patterns for Securing LLM Agents against Prompt Injections,,exclude,Design-pattern synthesis without a single auditable runtime artifact,Design Patterns for Securing LLM Agents against Prompt Injections,1.0
supplementary-addition-or-rescue,Agent Operating Systems (AOS): Integrating Agentic Control Planes into and Beyond Traditional Operating Systems,,exclude,Conceptual architecture without verified implementation,Agent Operating Systems (AOS): Integrating Agentic Control Planes into and Beyond Traditional Operating Systems,1.0
supplementary-addition-or-rescue,Towards Verifiably Safe Tool Use for LLM Agents,,exclude,High-value method paper without a verified runtime artifact,Towards Verifiably Safe Tool Use for LLM Agents,1.0
supplementary-addition-or-rescue,AgentXploit: End-to-End Redteaming of Black-Box AI Agents,,exclude,Red-team method rather than compliance enforcement,AgentXploit: End-to-End Redteaming of Black-Box AI Agents,1.0
supplementary-addition-or-rescue,IsolateGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,,include,Peer-reviewed execution isolation and capability boundary,IsolateGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,1.0
supplementary-addition-or-rescue,Progent: Securing AI Agents with Privilege Control,,include,Fine-grained programmable tool privilege control,Progent: Securing AI Agents with Privilege Control,1.0
supplementary-addition-or-rescue,Auditing Agent Harness Safety,,include,Direct harness implementation audit with public artifact,Auditing Agent Harness Safety,1.0
